Word	Valence	Arousal	Dominance
retired	0.270	0.259	0.301
retirement	0.250	0.324	0.255
retiring	0.408	0.376	0.214
retold	0.459	0.385	0.352
retort	0.417	0.520	0.481
retrace	0.250	0.482	0.317
retract	0.316	0.443	0.358
retraction	0.312	0.491	0.427
retractor	0.354	0.590	0.557
retreat	0.500	0.519	0.312
retrenchment	0.230	0.650	0.384
retrial	0.500	0.577	0.593
retribution	0.625	0.490	0.708
retrieval	0.700	0.440	0.704
retrieve	0.740	0.576	0.705
retriever	0.459	0.500	0.464
retro	0.650	0.276	0.321
retroactive	0.521	0.452	0.655
retrograde	0.208	0.464	0.415
retrospect	0.406	0.500	0.538
retrospective	0.594	0.481	0.528
retrospectively	0.516	0.400	0.560
return	0.602	0.412	0.463
reunion	0.837	0.500	0.672
reunite	0.656	0.550	0.657
reunited	0.708	0.439	0.658
rev	0.367	0.422	0.353
reveal	0.493	0.637	0.526
revel	0.740	0.705	0.684
revelation	0.879	0.500	0.865
revelations	0.729	0.655	0.600
revels	0.827	0.683	0.647
revenge	0.230	0.940	0.627
revenue	0.873	0.510	0.854
reverberation	0.390	0.639	0.551
revere	0.750	0.562	0.608
reverence	0.643	0.347	0.516
reverend	0.650	0.337	0.576
reverent	0.551	0.490	0.694
reverie	0.667	0.413	0.471
reversal	0.380	0.510	0.591
reverse	0.539	0.415	0.461
reversion	0.458	0.538	0.425
revert	0.380	0.451	0.519
reverting	0.562	0.385	0.544
review	0.667	0.408	0.636
reviewer	0.562	0.344	0.500
revise	0.500	0.469	0.509
revision	0.417	0.459	0.710
revisit	0.552	0.530	0.509
revival	0.823	0.664	0.597
revive	0.676	0.780	0.778
revocation	0.260	0.610	0.673
revoke	0.251	0.696	0.737
revolt	0.343	0.878	0.658
revolting	0.102	0.690	0.300
revolution	0.417	0.902	0.798
revolutionary	0.635	0.887	0.824
revolutionize	0.684	0.816	0.904
revolve	0.592	0.546	0.402
revolver	0.194	0.796	0.750
revolving	0.602	0.570	0.580
revue	0.594	0.350	0.420
revulsion	0.104	0.765	0.343
revving	0.604	0.875	0.879
reward	0.948	0.694	0.783
rewarding	0.958	0.637	0.783
rewind	0.460	0.551	0.431
rewire	0.365	0.462	0.406
rewrite	0.490	0.500	0.434
rhapsody	0.708	0.490	0.460
rhetoric	0.417	0.429	0.504
rhetorical	0.417	0.569	0.635
rheumatism	0.219	0.472	0.418
rhinestone	0.531	0.551	0.408
rhino	0.531	0.549	0.555
rhinoceros	0.556	0.656	0.569
rhubarb	0.582	0.304	0.340
rhyme	0.667	0.249	0.481
rhyming	0.729	0.410	0.500
rhythm	0.771	0.759	0.573
rhythmic	0.714	0.642	0.664
rhythmical	0.844	0.694	0.632
rib	0.490	0.349	0.351
ribbed	0.365	0.378	0.409
ribbon	0.719	0.288	0.357
rice	0.667	0.208	0.330
rich	0.882	0.627	0.905
riches	0.958	0.694	0.880
richness	0.896	0.833	0.922
rick	0.459	0.420	0.444
rickety	0.224	0.402	0.241
rickshaw	0.438	0.594	0.402
ricochet	0.287	0.618	0.430
rid	0.194	0.408	0.327
riddance	0.323	0.562	0.472
riddle	0.521	0.583	0.543
riddled	0.281	0.861	0.422
ride	0.806	0.465	0.472
rider	0.635	0.627	0.574
ridge	0.484	0.402	0.349
ridicule	0.143	0.745	0.255
ridiculed	0.112	0.806	0.212
ridiculous	0.159	0.594	0.245
riding	0.694	0.654	0.620
rife	0.570	0.561	0.692
riff	0.521	0.551	0.343
riffraff	0.360	0.404	0.397
rifle	0.329	0.900	0.718
rifleman	0.245	0.863	0.767
rifles	0.337	0.864	0.765
rift	0.246	0.519	0.289
rig	0.542	0.382	0.746
rigged	0.188	0.510	0.412
rigging	0.510	0.518	0.440
right	0.740	0.352	0.710
righteous	0.823	0.385	0.790
righteousness	0.802	0.660	0.897
rightful	0.837	0.358	0.821
rightly	0.740	0.471	0.782
righty	0.750	0.314	0.786
rigid	0.357	0.552	0.591
rigidity	0.198	0.530	0.726
rigor	0.375	0.745	0.713
rigorous	0.438	0.818	0.847
rim	0.510	0.397	0.302
rind	0.542	0.280	0.491
ring	0.677	0.427	0.464
ringer	0.573	0.604	0.347
ringing	0.724	0.598	0.693
ringleader	0.520	0.550	0.640
ringmaster	0.630	0.622	0.732
ringside	0.500	0.644	0.411
rink	0.551	0.392	0.392
rinse	0.663	0.168	0.409
riot	0.061	0.946	0.586
rioting	0.156	0.949	0.560
riotous	0.163	0.837	0.588
riots	0.099	0.882	0.564
rip	0.146	0.676	0.365
riparian	0.552	0.408	0.412
ripe	0.671	0.337	0.670
ripen	0.755	0.373	0.671
ripening	0.615	0.490	0.759
ripper	0.219	0.887	0.642
ripple	0.500	0.453	0.370
rippling	0.500	0.480	0.327
rise	0.667	0.593	0.745
rising	0.750	0.602	0.696
risk	0.240	0.816	0.438
risky	0.224	0.922	0.700
risotto	0.802	0.454	0.234
rite	0.378	0.570	0.606
ritual	0.375	0.520	0.508
ritualistic	0.450	0.583	0.540
rival	0.286	0.605	0.574
rivalry	0.192	0.765	0.538
river	0.688	0.392	0.605
riverbank	0.684	0.300	0.330
riverbed	0.610	0.233	0.421
riverboat	0.561	0.347	0.462
rivet	0.458	0.306	0.405
riveted	0.385	0.439	0.443
riveting	0.448	0.544	0.394
roach	0.146	0.598	0.259
road	0.656	0.404	0.404
roadblock	0.337	0.669	0.490
roadhouse	0.500	0.620	0.458
roadie	0.500	0.566	0.455
roadrage	0.458	0.567	0.565
roadrunner	0.490	0.702	0.590
roads	0.677	0.448	0.496
roadside	0.500	0.569	0.472
roadster	0.531	0.622	0.473
roadtrip	0.677	0.596	0.519
roadway	0.562	0.206	0.509
roadworks	0.562	0.538	0.509
roam	0.510	0.550	0.444
roar	0.427	0.816	0.675
roaring	0.449	0.817	0.634
roast	0.521	0.541	0.311
roasted	0.615	0.520	0.339
rob	0.112	0.840	0.500
robber	0.135	0.772	0.481
robbery	0.133	0.843	0.435
robe	0.594	0.216	0.298
robin	0.552	0.363	0.393
robot	0.441	0.337	0.543
robotic	0.417	0.602	0.657
robotics	0.592	0.600	0.763
robust	0.667	0.604	0.719
roc	0.427	0.510	0.415
rock	0.623	0.236	0.557
rocker	0.615	0.704	0.625
rocket	0.664	0.824	0.774
rocks	0.365	0.209	0.543
rod	0.479	0.319	0.355
rodent	0.323	0.577	0.279
rodeo	0.490	0.676	0.588
roe	0.490	0.382	0.398
rogue	0.334	0.713	0.636
role	0.552	0.260	0.464
roll	0.469	0.510	0.172
roller	0.521	0.394	0.345
rollercoaster	0.802	0.910	0.651
rollers	0.490	0.365	0.336
rollicking	0.878	0.806	0.552
rolling	0.510	0.606	0.321
roman	0.615	0.475	0.639
romance	0.980	0.682	0.587
romantic	0.936	0.531	0.598
romanticism	0.854	0.521	0.593
romp	0.610	0.640	0.417
roof	0.602	0.226	0.342
rooftop	0.571	0.471	0.461
rook	0.380	0.400	0.510
rookie	0.583	0.370	0.198
room	0.729	0.283	0.445
roomful	0.786	0.425	0.634
roommate	0.750	0.481	0.480
rooms	0.677	0.241	0.386
roomy	0.760	0.342	0.736
roost	0.500	0.410	0.345
rooster	0.459	0.385	0.275
root	0.602	0.279	0.508
root beer	0.582	0.520	0.415
rooted	0.510	0.527	0.718
rope	0.385	0.280	0.345
ropes	0.458	0.304	0.402
rosary	0.806	0.140	0.430
rose	0.865	0.276	0.386
rosemary	0.688	0.381	0.425
rosette	0.469	0.410	0.310
roster	0.531	0.306	0.381
rosy	0.940	0.528	0.755
rot	0.031	0.558	0.301
rota	0.320	0.462	0.209
rotary	0.573	0.462	0.528
rotate	0.458	0.470	0.492
rotation	0.670	0.520	0.550
rote	0.561	0.481	0.696
rotor	0.500	0.458	0.404
rotten	0.104	0.590	0.327
rotting	0.188	0.462	0.255
rotunda	0.500	0.464	0.393
rouge	0.562	0.400	0.382
rough	0.406	0.794	0.632
roughly	0.448	0.539	0.463
roughneck	0.323	0.640	0.491
roughness	0.214	0.578	0.490
roulette	0.326	0.690	0.422
round	0.552	0.434	0.311
roundabout	0.490	0.425	0.495
rounded	0.592	0.391	0.396
roundup	0.520	0.580	0.474
rouse	0.521	0.490	0.463
rouser	0.480	0.540	0.423
rousing	0.714	0.517	0.692
rout	0.163	0.625	0.233
route	0.583	0.353	0.518
routine	0.365	0.219	0.333
rove	0.457	0.400	0.400
rover	0.510	0.538	0.421
roving	0.583	0.442	0.491
row	0.427	0.275	0.406
rowboat	0.455	0.393	0.353
rowdy	0.255	0.900	0.518
rowing	0.458	0.443	0.467
royal	0.796	0.430	0.759
royalty	0.832	0.571	0.833
rub	0.521	0.565	0.400
rubber	0.460	0.217	0.315
rubbers	0.604	0.360	0.414
rubbing	0.406	0.569	0.440
rubbish	0.198	0.454	0.164
rubble	0.308	0.509	0.289
rubdown	0.561	0.491	0.404
rubric	0.427	0.260	0.500
ruby	0.663	0.408	0.544
ruckus	0.271	0.706	0.411
rudder	0.439	0.469	0.509
ruddy	0.490	0.630	0.395
rude	0.061	0.821	0.402
rudeness	0.280	0.819	0.692
rudimentary	0.286	0.321	0.509
rudiments	0.385	0.520	0.373
rue	0.323	0.394	0.246
rueful	0.173	0.429	0.225
ruff	0.365	0.510	0.375
ruffian	0.130	0.824	0.463
ruffle	0.443	0.561	0.518
rug	0.520	0.240	0.245
rugby	0.677	0.820	0.708
rugged	0.561	0.569	0.793
ruin	0.125	0.588	0.192
ruination	0.184	0.582	0.209
ruined	0.135	0.564	0.194
ruinous	0.255	0.690	0.275
ruins	0.250	0.490	0.248
rule	0.567	0.427	0.593
ruler	0.440	0.400	0.631
ruling	0.177	0.566	0.410
rum	0.561	0.377	0.451
rumba	0.781	0.827	0.615
rumble	0.367	0.745	0.613
rummage	0.243	0.615	0.289
rumor	0.255	0.582	0.282
rumored	0.427	0.604	0.318
rump	0.449	0.425	0.396
rumpus	0.448	0.531	0.422
run	0.542	0.787	0.543
runaround	0.448	0.519	0.349
runaway	0.271	0.770	0.402
rundown	0.520	0.296	0.465
runes	0.438	0.300	0.304
rung	0.510	0.355	0.368
runner	0.459	0.747	0.632
running	0.730	0.858	0.442
running shoes	0.653	0.573	0.491
runny	0.540	0.439	0.325
runt	0.370	0.500	0.445
runway	0.585	0.373	0.406
rupture	0.125	0.633	0.430
rural	0.562	0.245	0.408
ruse	0.531	0.640	0.546
rush	0.406	0.809	0.546
rushing	0.398	0.821	0.529
rust	0.281	0.265	0.321
rusted	0.286	0.357	0.302
rustic	0.369	0.657	0.491
rustle	0.333	0.538	0.394
rustler	0.281	0.830	0.429
rusty	0.271	0.345	0.231
rut	0.333	0.310	0.392
ruth	0.469	0.427	0.444
ruthless	0.208	0.850	0.670
rye	0.490	0.298	0.411
sabbatical	0.771	0.240	0.427
saber	0.551	0.620	0.553
sable	0.449	0.596	0.500
sabotage	0.135	0.906	0.500
saboteur	0.250	0.804	0.407
sac	0.344	0.245	0.226
sack	0.385	0.337	0.264
sacrament	0.690	0.316	0.700
sacred	0.833	0.375	0.862
sacrifice	0.208	0.833	0.534
sacrifices	0.281	0.717	0.538
sacrificial	0.198	0.755	0.452
sacrilege	0.281	0.708	0.491
sacrilegious	0.146	0.736	0.449
sad	0.225	0.333	0.149
sadday	0.520	0.418	0.411
saddens	0.104	0.436	0.144
saddle	0.510	0.509	0.306
sadist	0.042	0.918	0.500
sadistic	0.031	0.906	0.618
sadly	0.047	0.255	0.216
sadness	0.052	0.288	0.164
safari	0.663	0.673	0.640
safe	0.898	0.306	0.759
safeguard	0.786	0.624	0.700
safekeeping	0.653	0.510	0.586
safety	0.708	0.491	0.868
saffron	0.443	0.373	0.349
sag	0.153	0.578	0.445
saga	0.635	0.440	0.600
sage	0.781	0.327	0.693
saggy	0.370	0.429	0.300
sail	0.615	0.220	0.325
sailboat	0.719	0.392	0.381
sailing	0.667	0.520	0.500
sailor	0.500	0.588	0.500
saint	0.812	0.240	0.693
sainted	0.708	0.296	0.676
saintly	0.865	0.286	0.591
sake	0.490	0.573	0.407
salad	0.750	0.260	0.307
salamander	0.410	0.362	0.309
salami	0.667	0.360	0.339
salary	0.786	0.480	0.652
sale	0.647	0.602	0.573
salesgirl	0.582	0.490	0.605
salesman	0.643	0.559	0.664
salient	0.600	0.573	0.702
saline	0.430	0.340	0.385
saliva	0.214	0.265	0.236
sally	0.604	0.390	0.451
salmon	0.760	0.250	0.444
salmonella	0.167	0.608	0.312
salon	0.531	0.296	0.463
saloon	0.630	0.300	0.364
salsa	0.742	0.500	0.370
salt	0.323	0.312	0.306
salted	0.333	0.400	0.304
saltwater	0.327	0.330	0.364
salty	0.388	0.531	0.288
salutary	0.885	0.360	0.686
salutation	0.878	0.417	0.500
salute	0.833	0.542	0.681
salvage	0.622	0.510	0.832
salvation	0.857	0.480	0.800
salve	0.612	0.390	0.500
samba	0.781	0.740	0.465
sameness	0.531	0.330	0.484
sample	0.521	0.187	0.452
samurai	0.562	0.736	0.838
sanatorium	0.469	0.490	0.491
sanctification	0.770	0.431	0.816
sanctified	0.792	0.240	0.612
sanctify	0.673	0.443	0.783
sanctimonious	0.240	0.365	0.327
sanction	0.201	0.750	0.517
sanctioned	0.323	0.696	0.391
sanctity	0.771	0.330	0.628
sanctuary	0.863	0.226	0.575
sanctum	0.521	0.438	0.657
sand	0.582	0.279	0.304
sandal	0.490	0.283	0.333
sandbox	0.573	0.274	0.264
sander	0.438	0.580	0.445
sandman	0.479	0.469	0.388
sandpaper	0.417	0.425	0.404
sands	0.646	0.304	0.377
sandstorm	0.324	0.821	0.629
sandwich	0.672	0.314	0.310
sandy	0.406	0.265	0.296
sane	0.760	0.235	0.670
sanguine	0.520	0.560	0.545
sanitarium	0.448	0.645	0.570
sanitary	0.458	0.320	0.425
sanitation	0.742	0.312	0.500
sanity	0.667	0.333	0.655
sans	0.459	0.294	0.246
santa	0.735	0.286	0.509
sap	0.470	0.298	0.258
sapiens	0.480	0.453	0.584
sapphire	0.770	0.472	0.651
sappy	0.583	0.469	0.330
sarcasm	0.125	0.685	0.346
sarcastic	0.397	0.781	0.298
sarcoma	0.260	0.519	0.402
sarcophagus	0.271	0.561	0.435
sardine	0.541	0.236	0.236
sardonic	0.208	0.679	0.446
sarsaparilla	0.542	0.488	0.345
sash	0.480	0.298	0.333
sashimi	0.704	0.310	0.359
sassafras	0.469	0.388	0.471
sassy	0.271	0.704	0.320
satanic	0.062	0.843	0.720
satchel	0.521	0.306	0.345
sate	0.667	0.400	0.472
satellite	0.562	0.409	0.764
satin	0.519	0.396	0.481
satire	0.458	0.655	0.472
satirical	0.323	0.615	0.538
satisfaction	0.939	0.637	0.673
satisfactorily	0.765	0.570	0.802
satisfactory	0.959	0.569	0.702
satisfied	0.959	0.510	0.685
satisfy	0.867	0.790	0.705
satisfying	0.890	0.606	0.814
saturate	0.281	0.680	0.467
saturated	0.474	0.700	0.442
saturation	0.255	0.582	0.583
satyr	0.280	0.639	0.500
sauce	0.562	0.515	0.288
saucepan	0.347	0.264	0.321
saucer	0.510	0.327	0.337
saucy	0.250	0.653	0.391
sauerkraut	0.531	0.454	0.336
sauna	0.781	0.350	0.455
sausage	0.542	0.429	0.300
savage	0.204	0.931	0.605
savagery	0.219	0.907	0.711
savanna	0.606	0.147	0.394
savannah	0.729	0.212	0.309
savant	0.781	0.451	0.818
save	0.770	0.439	0.682
saver	0.745	0.382	0.802
saving	0.663	0.230	0.621
savings	0.776	0.431	0.608
savior	0.920	0.469	0.804
savor	0.827	0.552	0.526
savory	0.812	0.717	0.619
savvy	0.719	0.520	0.706
saw	0.316	0.541	0.518
sawdust	0.398	0.279	0.241
sawmill	0.427	0.378	0.434
sax	0.573	0.465	0.409
saxophone	0.688	0.444	0.482
say	0.571	0.310	0.482
sayonara	0.560	0.398	0.402
scab	0.354	0.330	0.272
scabbard	0.325	0.219	0.217
scaffold	0.480	0.500	0.336
scaffolding	0.496	0.366	0.545
scalding	0.271	0.540	0.381
scale	0.310	0.350	0.577
scales	0.439	0.330	0.491
scallop	0.490	0.363	0.331
scalp	0.347	0.346	0.302
scalpel	0.302	0.700	0.482
scaly	0.281	0.481	0.358
scam	0.042	0.745	0.418
scamp	0.458	0.464	0.371
scampi	0.531	0.448	0.224
scan	0.479	0.423	0.470
scandal	0.122	0.821	0.557
scandalous	0.135	0.907	0.556
scanner	0.531	0.356	0.567
scanty	0.287	0.333	0.127
scape	0.290	0.625	0.536
scapegoat	0.184	0.685	0.481
scar	0.146	0.500	0.397
scarab	0.406	0.458	0.267
scarce	0.292	0.324	0.218
scarcely	0.082	0.412	0.160
scarcity	0.167	0.500	0.182
scare	0.122	0.910	0.264
scarecrow	0.219	0.274	0.349
scared	0.146	0.828	0.185
scares	0.122	0.847	0.386
scarf	0.750	0.224	0.224
scarier	0.156	0.846	0.472
scariest	0.167	0.863	0.538
scarlet	0.507	0.390	0.411
scary	0.062	0.952	0.528
scat	0.337	0.548	0.409
scatter	0.229	0.620	0.404
scattered	0.208	0.380	0.238
scattering	0.347	0.550	0.394
scavenger	0.177	0.578	0.408
scenario	0.667	0.510	0.683
scene	0.570	0.340	0.578
scenery	0.745	0.253	0.592
scenic	0.684	0.548	0.756
scent	0.633	0.410	0.491
scented	0.865	0.509	0.431
scepter	0.630	0.300	0.670
sceptical	0.214	0.387	0.466
scepticism	0.292	0.444	0.550
schadenfreude	0.354	0.640	0.463
schedule	0.510	0.380	0.480
schematic	0.490	0.284	0.647
scheme	0.521	0.269	0.577
schilling	0.367	0.410	0.418
schism	0.280	0.569	0.386
schizophrenia	0.092	0.880	0.435
schizophrenic	0.102	0.958	0.433
schlep	0.302	0.426	0.382
schmuck	0.363	0.412	0.375
schnapps	0.583	0.567	0.417
schnitzel	0.365	0.430	0.382
scholar	0.694	0.421	0.731
scholarly	0.750	0.466	0.709
scholarship	0.866	0.490	0.625
scholastic	0.500	0.470	0.491
school	0.765	0.423	0.633
schoolboy	0.623	0.385	0.441
schoolgirl	0.760	0.521	0.415
schoolhouse	0.602	0.407	0.672
schooling	0.582	0.462	0.640
schoolmaster	0.667	0.368	0.852
schoolteacher	0.521	0.380	0.632
schoolwork	0.479	0.500	0.481
schoolyard	0.684	0.529	0.440
schooner	0.635	0.408	0.427
sciatica	0.286	0.443	0.393
science	0.588	0.429	0.741
scientific	0.653	0.510	0.836
scientist	0.562	0.500	0.790
scifi	0.592	0.570	0.394
scintilla	0.476	0.528	0.385
scintillating	0.650	0.736	0.612
scintillation	0.576	0.579	0.573
scintillator	0.583	0.670	0.510
scion	0.490	0.380	0.451
scissors	0.458	0.462	0.302
scoff	0.125	0.686	0.306
scold	0.194	0.755	0.626
scolding	0.071	0.833	0.417
scone	0.418	0.287	0.229
scoop	0.583	0.543	0.640
scoot	0.510	0.490	0.412
scooter	0.510	0.587	0.371
scope	0.656	0.386	0.718
scorch	0.214	0.689	0.491
scorching	0.406	0.635	0.464
score	0.670	0.388	0.589
scoreboard	0.667	0.484	0.472
scorer	0.730	0.608	0.764
scores	0.594	0.469	0.629
scorn	0.110	0.721	0.356
scorned	0.062	0.529	0.226
scornful	0.173	0.608	0.368
scorpion	0.198	0.745	0.600
scotch	0.578	0.520	0.615
scoundrel	0.094	0.740	0.412
scour	0.388	0.602	0.632
scourge	0.214	0.640	0.302
scout	0.656	0.611	0.763
scowl	0.302	0.600	0.413
scrabble	0.625	0.412	0.399
scram	0.306	0.485	0.409
scramble	0.469	0.744	0.500
scrambled	0.451	0.535	0.539
scrambler	0.417	0.550	0.444
scrambling	0.421	0.810	0.731
scrap	0.156	0.339	0.173
scrapbook	0.562	0.274	0.432
scrape	0.365	0.615	0.384
scrapie	0.306	0.706	0.231
scraping	0.265	0.479	0.305
scrappy	0.301	0.375	0.406
scratch	0.276	0.625	0.270
scratchy	0.235	0.610	0.436
scrawny	0.276	0.422	0.245
scream	0.188	0.863	0.594
screamer	0.156	0.670	0.392
screaming	0.245	0.901	0.460
screech	0.214	0.802	0.306
screen	0.670	0.300	0.417
screening	0.562	0.570	0.709
screenplay	0.500	0.406	0.518
screenwriter	0.571	0.500	0.712
screw	0.385	0.460	0.377
screwball	0.271	0.680	0.505
screwdriver	0.520	0.519	0.439
screwed	0.302	0.520	0.464
screwy	0.344	0.596	0.450
screwyou	0.260	0.647	0.509
scribble	0.429	0.453	0.358
scribe	0.541	0.264	0.491
scrimmage	0.367	0.660	0.411
scrip	0.430	0.462	0.455
script	0.610	0.450	0.527
scriptural	0.551	0.250	0.596
scripture	0.745	0.270	0.630
scroll	0.375	0.630	0.409
scrotum	0.396	0.653	0.361
scrounge	0.210	0.565	0.397
scrounger	0.323	0.490	0.358
scrub	0.417	0.420	0.500
scruffy	0.194	0.435	0.176
scrumptious	0.959	0.650	0.566
scrupulous	0.545	0.685	0.602
scrutinize	0.458	0.587	0.573
scrutiny	0.500	0.653	0.658
scuba	0.542	0.494	0.456
scuff	0.165	0.560	0.376
scuffle	0.146	0.800	0.529
scullery	0.469	0.337	0.353
sculptor	0.653	0.431	0.694
sculpture	0.750	0.346	0.490
sculptured	0.708	0.373	0.557
scum	0.357	0.380	0.218
scumbag	0.240	0.591	0.278
scurry	0.398	0.647	0.509
scurvy	0.354	0.462	0.312
scuttle	0.438	0.398	0.430
sea	0.833	0.353	0.589
seaboard	0.663	0.356	0.507
seafood	0.656	0.500	0.328
seagull	0.635	0.245	0.314
seal	0.490	0.218	0.518
seals	0.412	0.241	0.402
seam	0.427	0.250	0.414
seaman	0.520	0.510	0.672
seamless	0.459	0.140	0.302
seamstress	0.535	0.288	0.389
seaport	0.594	0.317	0.491
sear	0.490	0.553	0.600
search	0.635	0.580	0.462
searching	0.534	0.657	0.466
searchlight	0.622	0.510	0.552
seared	0.229	0.410	0.398
seashore	0.796	0.310	0.375
seasick	0.115	0.683	0.245
seaside	0.887	0.520	0.508
season	0.792	0.410	0.519
seasonal	0.592	0.273	0.305
seasoned	0.812	0.570	0.509
seasoning	0.633	0.388	0.479
seat	0.542	0.281	0.434
seatbelt	0.656	0.314	0.726
seating	0.552	0.265	0.286
seawater	0.760	0.197	0.491
seaweed	0.446	0.286	0.382
sec	0.490	0.385	0.380
secession	0.323	0.561	0.509
secluded	0.357	0.265	0.240
seclusion	0.230	0.558	0.505
second	0.490	0.210	0.250
second cousin	0.698	0.360	0.441
secondary	0.636	0.375	0.260
secondhand	0.194	0.389	0.283
secrecy	0.294	0.549	0.475
secret	0.479	0.580	0.509
secretariat	0.518	0.459	0.597
secretary	0.612	0.426	0.561
secrete	0.427	0.567	0.518
secretion	0.354	0.582	0.529
secretive	0.390	0.250	0.538
secretly	0.525	0.404	0.479
sect	0.265	0.667	0.526
sectarian	0.260	0.606	0.517
section	0.500	0.269	0.421
sectional	0.427	0.415	0.464
sector	0.594	0.190	0.569
secular	0.463	0.461	0.520
secularism	0.367	0.440	0.559
secure	0.844	0.380	0.914
securities	0.750	0.304	0.852
security	0.837	0.360	0.821
sedan	0.480	0.423	0.680
sedate	0.656	0.157	0.345
sedation	0.510	0.270	0.398
sedative	0.314	0.273	0.352
sedentary	0.292	0.185	0.273
sedge	0.406	0.396	0.339
sediment	0.438	0.306	0.372
sedimentary	0.398	0.265	0.500
sedition	0.327	0.557	0.591
seduce	0.462	0.864	0.689
seducer	0.704	0.812	0.775
seducing	0.569	0.794	0.708
seduction	0.510	0.891	0.618
seductive	0.771	0.821	0.667
see	0.635	0.269	0.312
seed	0.656	0.135	0.306
seedling	0.406	0.343	0.423
seeds	0.731	0.269	0.418
seedy	0.229	0.390	0.325
seek	0.622	0.429	0.482
seeker	0.646	0.464	0.553
seem	0.471	0.302	0.298
seemingly	0.490	0.410	0.356
seer	0.604	0.481	0.740
seesaw	0.570	0.559	0.410
seething	0.312	0.821	0.642
segment	0.469	0.290	0.440
segregate	0.290	0.627	0.440
segregated	0.164	0.575	0.411
segregation	0.302	0.545	0.390
seismic	0.323	0.925	0.578
seize	0.656	0.644	0.673
seizure	0.177	0.775	0.462
seldom	0.323	0.379	0.287
select	0.615	0.406	0.602
selection	0.594	0.340	0.595
selective	0.612	0.347	0.706
selectman	0.552	0.547	0.609
selenium	0.469	0.408	0.336
self	0.704	0.370	0.500
selfharm	0.350	0.620	0.407
selfish	0.061	0.637	0.495
selfishness	0.200	0.686	0.453
selfless	0.521	0.235	0.396
selflove	0.854	0.630	0.661
selfworth	0.704	0.460	0.594
sell	0.618	0.608	0.605
seller	0.635	0.471	0.635
sellout	0.398	0.490	0.465
seltzer	0.448	0.452	0.406
semantics	0.698	0.394	0.569
semaphore	0.552	0.374	0.598
semblance	0.500	0.471	0.442
semen	0.500	0.755	0.471
semester	0.521	0.327	0.482
semi	0.296	0.345	0.304
semiautomatic	0.469	0.510	0.522
semicolon	0.378	0.255	0.318
seminal	0.459	0.413	0.566
seminar	0.583	0.360	0.623
seminary	0.594	0.367	0.589
semiotics	0.449	0.417	0.596
senate	0.490	0.349	0.836
senator	0.391	0.422	0.821
send	0.663	0.480	0.537
sender	0.542	0.449	0.509
senescence	0.378	0.456	0.394
senile	0.280	0.211	0.305
senior	0.561	0.415	0.536
seniority	0.408	0.427	0.602
senor	0.527	0.217	0.630
senorita	0.765	0.550	0.500
sensation	0.781	0.663	0.673
sensational	0.938	0.827	0.858
sense	0.781	0.417	0.474
senseless	0.125	0.388	0.136
senses	0.740	0.461	0.693
sensibility	0.583	0.423	0.448
sensible	0.625	0.454	0.312
sensibly	0.786	0.337	0.396
sensitive	0.714	0.426	0.254
sensitivity	0.750	0.417	0.395
sensor	0.571	0.377	0.542
sensory	0.583	0.480	0.442
sensual	0.730	0.790	0.642
sensuality	0.844	0.840	0.632
sensuous	0.854	0.798	0.625
sentence	0.625	0.265	0.548
sentencing	0.120	0.782	0.561
sentient	0.583	0.417	0.363
sentiment	0.765	0.451	0.639
sentimental	0.583	0.378	0.312
sentimentality	0.771	0.548	0.319
sentinel	0.531	0.602	0.845
sentry	0.470	0.547	0.684
separable	0.469	0.390	0.368
separate	0.240	0.514	0.349
separately	0.310	0.365	0.368
separation	0.198	0.592	0.409
separatist	0.245	0.627	0.537
sepia	0.448	0.270	0.345
sepsis	0.229	0.452	0.327
sept	0.521	0.333	0.361
septic	0.281	0.462	0.425
septum	0.276	0.423	0.410
sequel	0.650	0.480	0.574
sequence	0.543	0.350	0.529
sequent	0.531	0.423	0.591
sequestered	0.160	0.863	0.427
sequestration	0.177	0.860	0.500
serenade	0.875	0.570	0.491
serendipity	0.677	0.413	0.500
serene	0.802	0.132	0.370
serenity	0.900	0.122	0.557
sergeant	0.408	0.600	0.833
serial	0.469	0.350	0.472
serialize	0.500	0.455	0.593
series	0.622	0.431	0.420
serif	0.531	0.417	0.415
serious	0.500	0.455	0.619
seriousness	0.439	0.365	0.750
sermon	0.417	0.507	0.615
serpent	0.115	0.696	0.679
serpentine	0.576	0.646	0.329
serrated	0.388	0.435	0.418
serum	0.520	0.231	0.443
servant	0.340	0.408	0.331
serve	0.622	0.400	0.384
server	0.656	0.356	0.536
service	0.684	0.408	0.535
serviceable	0.834	0.400	0.684
servile	0.439	0.327	0.415
servitude	0.250	0.490	0.250
sesame	0.673	0.250	0.382
sess	0.418	0.481	0.411
session	0.510	0.481	0.491
sessions	0.646	0.578	0.650
set	0.521	0.482	0.630
setback	0.198	0.451	0.250
sett	0.560	0.413	0.500
setter	0.541	0.455	0.473
settle	0.833	0.520	0.772
settled	0.521	0.510	0.473
settlement	0.635	0.412	0.723
settler	0.573	0.453	0.519
settlor	0.531	0.434	0.534
setup	0.667	0.398	0.635
seven	0.672	0.265	0.373
seventeen	0.585	0.296	0.321
seventh	0.500	0.245	0.288
seventy	0.625	0.353	0.446
sever	0.156	0.635	0.451
severable	0.406	0.451	0.398
severally	0.719	0.298	0.600
severance	0.396	0.620	0.541
severe	0.164	0.735	0.635
